,name,api_keyword,business_status,place_id,lat,lng,rating,user_ratings_total,types,vicinity,price_level
87,Le clos de l'olivier,hotel,OPERATIONAL,ChIJnyMswGpw5kcRV20UIeNg30Q,48.8358913,2.2964105,5.0,34,"['lodging', 'point_of_interest', 'establishment']","4 Pass. Olivier de Serres, Paris",
88,ibis Styles Paris Porte de Versailles - Mairie d'Issy,hotel,OPERATIONAL,ChIJq7O0pXhw5kcRwksFkCNbOZ8,48.82335810000001,2.2748504,4.2,122,"['lodging', 'point_of_interest', 'establishment']","15 Av. Jean Jaurès, Issy-les-Moulineaux",
89,Hôtel Paris d'Issy,hotel,OPERATIONAL,ChIJjTO_FYJ65kcR-OXWHvE6y0M,48.82351269999999,2.2729653,4.4,357,"['lodging', 'point_of_interest', 'establishment']","4 Rue Auguste Gervais, Issy-les-Moulineaux",
90,ibis Paris Vaugirard Porte de Versailles,hotel,OPERATIONAL,ChIJHcU-IGtw5kcR1TwJTAaNJyU,48.8359537,2.2950504,4.0,382,"['lodging', 'point_of_interest', 'establishment']","5 Rue Eugène Gibez, Paris",
91,hôtel de la place,hotel,OPERATIONAL,ChIJ60bQqV5w5kcR4Xf0pHfpLF0,48.8218245,2.3018642,3.8,63,"['lodging', 'point_of_interest', 'establishment']","41 Rue Gabriel Crié, Malakoff",
92,Timhotel Boulogne Rives de Seine,hotel,OPERATIONAL,ChIJR0MWG_J65kcRwnr1A93YjsI,48.8272632,2.2472663,2.7,561,"['lodging', 'point_of_interest', 'establishment']","251 Bd Jean Jaurès, Boulogne-Billancourt",
93,Residhome Paris Clamart,hotel,OPERATIONAL,ChIJvVJ7CAp65kcR5QKyKUdKIco,48.79307410000001,2.2707801,4.2,132,"['lodging', 'point_of_interest', 'establishment']","1 Pass. du Panorama, Clamart",
94,Hôtel Le Carrosse,hotel,OPERATIONAL,ChIJAXLs93Jw5kcRTeBFiVM68FY,48.8348459,2.2844514,3.9,114,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","88 Rue Desnouettes, Paris",
95,Auriane Porte de Versailles,hotel,OPERATIONAL,ChIJUapoUWpw5kcR1o4KBZunVoA,48.8341692,2.2951199,2.2,339,"['lodging', 'point_of_interest', 'establishment']","60 Rue Olivier de Serres, Paris",
96,Hotel Ajiel,hotel,OPERATIONAL,ChIJt-4QlUBw5kcRFuoDaCoMvYg,48.8357683,2.3019309,4.0,1,"['lodging', 'point_of_interest', 'establishment']","237 Rue de la Convention, Paris",
97,Aparthotel Adagio Porte de Versailles,hotel,OPERATIONAL,ChIJezwtUHFw5kcRXg0zjaZRue4,48.831217,2.2812982,3.8,1221,"['lodging', 'point_of_interest', 'establishment']","16 Rue Eliane Jeannin-Garreau, Issy-les-Moulineaux",
98,Hôtel Clarisse,hotel,OPERATIONAL,ChIJi2_5BENw5kcRE7Q67kcP-rE,48.8290505,2.3004713,4.0,316,"['lodging', 'point_of_interest', 'establishment']","159 Bd Lefebvre, Paris",
99,Hôtel Olympic by Patrick Hayat,hotel,OPERATIONAL,ChIJQ7ejw-l65kcRaDZheBkLdkI,48.8371264,2.2459092,3.9,357,"['lodging', 'point_of_interest', 'establishment']","69 Av. Victor Hugo, Boulogne-Billancourt",
100,Mama Restaurant Paris West,restaurant,OPERATIONAL,ChIJaQnWVRdx5kcREX0D9Ip5T2M,48.8287134,2.29196,4.3,754,"['restaurant', 'food', 'point_of_interest', 'establishment']","20 Av. de la Prte de la Plaine, Paris",
101,Bar Restaurant l’Auberge,restaurant,OPERATIONAL,ChIJL9Bi8Ylw5kcRCb-dBc0EKHs,48.8161689,2.2902914,4.3,51,"['restaurant', 'food', 'point_of_interest', 'establishment']","15 Rue Hoche, Malakoff",
102,"Restaurant ""La Porte Didot""",restaurant,OPERATIONAL,ChIJucmKUhlx5kcRMTco_4NZvbE,48.8263255,2.3125094,3.5,50,"['restaurant', 'food', 'point_of_interest', 'establishment']","77 Boulevard Brune, Paris",1
103,Restaurant Kitchen and Bar by Courtyard Arcueil,restaurant,OPERATIONAL,ChIJ3-MEx9dx5kcRqoX6brrRYCo,48.8100497,2.3281288,3.6,8,"['restaurant', 'food', 'point_of_interest', 'establishment']","6 Av. du Président Salvador Allende, Arcueil",
104,Le Canastel,restaurant,OPERATIONAL,ChIJz1hPZYpw5kcRr10ElHhh43k,48.8163226,2.2928214,4.6,223,"['restaurant', 'food', 'point_of_interest', 'establishment']","123 Rue Paul Vaillant Couturier, Malakoff",1
105,Buffalo Grill,restaurant,OPERATIONAL,ChIJv7qrZa5x5kcRpZ3Wmx7L_Ks,48.82434,2.32619,4.1,2796,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']","117 Av. du Général Leclerc, Paris",2
